edo_nom,sexo,grupo_edad,conteo
Tabasco,Femenino,Adultos,4
Tabasco,Femenino,Adultos mayores,0
Tabasco,Femenino,Infancias,2
Tabasco,Femenino,Jóvenes,8
Tabasco,Indeterminado,Adolescentes,0
Tabasco,Indeterminado,Adultos,1
Tabasco,Indeterminado,Adultos mayores,0
Tabasco,Indeterminado,Infancias,0
Tabasco,Indeterminado,Jóvenes,0
Tabasco,Masculino,Adolescentes,15
Tabasco,Masculino,Adultos,44
Tabasco,Masculino,Adultos mayores,12
Tabasco,Masculino,Infancias,3
Tabasco,Masculino,Jóvenes,67
Tamaulipas,Femenino,Adolescentes,227
Tamaulipas,Femenino,Adultos,44
Tamaulipas,Femenino,Adultos mayores,12
Tamaulipas,Femenino,Infancias,14
Tamaulipas,Femenino,Jóvenes,101
Tamaulipas,Indeterminado,Adolescentes,0
Tamaulipas,Indeterminado,Adultos,0
Tamaulipas,Indeterminado,Adultos mayores,0
Tamaulipas,Indeterminado,Infancias,0
Tamaulipas,Indeterminado,Jóvenes,0
Tamaulipas,Masculino,Adolescentes,140
Tamaulipas,Masculino,Adultos,328
Tamaulipas,Masculino,Adultos mayores,66
Tamaulipas,Masculino,Infancias,7
Tamaulipas,Masculino,Jóvenes,441
Tlaxcala,Femenino,Adolescentes,63
Tlaxcala,Femenino,Adultos,8
Tlaxcala,Femenino,Adultos mayores,8
Tlaxcala,Femenino,Infancias,6
Tlaxcala,Femenino,Jóvenes,23
Tlaxcala,Indeterminado,Adolescentes,0
Tlaxcala,Indeterminado,Adultos,0
Tlaxcala,Indeterminado,Adultos mayores,0
Tlaxcala,Indeterminado,Infancias,0
Tlaxcala,Indeterminado,Jóvenes,0
Tlaxcala,Masculino,Adolescentes,30
Tlaxcala,Masculino,Adultos,18
Tlaxcala,Masculino,Adultos mayores,11
Tlaxcala,Masculino,Infancias,5
Tlaxcala,Masculino,Jóvenes,35
Veracruz,Femenino,Adolescentes,263
Veracruz,Femenino,Adultos,73
Veracruz,Femenino,Adultos mayores,14
Veracruz,Femenino,Infancias,26
Veracruz,Femenino,Jóvenes,142
Veracruz,Indeterminado,Adolescentes,0
Veracruz,Indeterminado,Adultos,0
Veracruz,Indeterminado,Adultos mayores,0
Veracruz,Indeterminado,Infancias,0
Veracruz,Indeterminado,Jóvenes,0
Veracruz,Masculino,Adolescentes,121
Veracruz,Masculino,Adultos,213
Veracruz,Masculino,Adultos mayores,47
Veracruz,Masculino,Infancias,17
Veracruz,Masculino,Jóvenes,302
Yucatán,Femenino,Adolescentes,3
Yucatán,Femenino,Adultos,1
Yucatán,Femenino,Adultos mayores,0
Yucatán,Femenino,Infancias,0
Yucatán,Femenino,Jóvenes,1
Yucatán,Indeterminado,Adolescentes,0
Yucatán,Indeterminado,Adultos,0
Yucatán,Indeterminado,Adultos mayores,0
Yucatán,Indeterminado,Infancias,0
Yucatán,Indeterminado,Jóvenes,0
Yucatán,Masculino,Adolescentes,1
Yucatán,Masculino,Adultos,7
Yucatán,Masculino,Adultos mayores,6
Yucatán,Masculino,Infancias,3
Yucatán,Masculino,Jóvenes,8
Zacatecas,Femenino,Adolescentes,129
Zacatecas,Femenino,Adultos,43
Zacatecas,Femenino,Adultos mayores,4
Zacatecas,Femenino,Infancias,14
Zacatecas,Femenino,Jóvenes,87
Zacatecas,Indeterminado,Adolescentes,0
Zacatecas,Indeterminado,Adultos,0
Zacatecas,Indeterminado,Adultos mayores,0
Zacatecas,Indeterminado,Infancias,0
Zacatecas,Indeterminado,Jóvenes,0
Zacatecas,Masculino,Adolescentes,125
Zacatecas,Masculino,Adultos,227
Zacatecas,Masculino,Adultos mayores,34
Zacatecas,Masculino,Infancias,9
Zacatecas,Masculino,Jóvenes,363
